mol% SiO2,mol%Na2O,mol%K2O,Tg (K),T (K) ,viscosity (Pa s)
80,20,0,753,703,14.5
80,20,0,753,718,13.75
80,20,0,753,726,13.32
80,20,0,753,727,13.29
80,20,0,753,740,12.58
80,20,0,753,758,12
80,20,0,753,754,11.98
80,20,0,753,761,11.63
80,20,0,753,765,11.45
80,20,0,753,774,11.05
80,20,0,753,777,10.9
80,20,0,753,788,10.58
80,20,0,753,789,10.54
80,20,0,753,800,10.12
80,20,0,753,801,10.08
80,20,0,753,810,9.83
80,20,0,753,815,9.56
80,20,0,753,816,9.54
80,20,0,753,824,9.33
80,20,0,753,824,9.29
80,20,0,753,828,9.2
80,20,0,753,836,8.98
80,20,0,753,1432,2.03
80,20,0,753,1478,1.8
80,20,0,753,1522,1.65
80,20,0,753,1584,1.44
80,20,0,753,1623,1.31
80,20,0,753,1665,1.17
80,20,0,753,1712,1.05
80,20,0,753,1759,0.91
