mol% SiO2,mol%Na2O,mol%K2O,Tg (K),T (K) ,viscosity (Pa s)
100,0,0,1480,2755,2.53
100,0,0,1480,2655,2.92
100,0,0,1480,2541,3.36
100,0,0,1480,2441,3.8
100,0,0,1480,2334,4.25
100,0,0,1480,2237,4.79
100,0,0,1480,2143,5.36
100,0,0,1480,2049,5.9
100,0,0,1480,1925,6.79
100,0,0,1480,1872,7.08
100,0,0,1480,1711,8.48
100,0,0,1480,1648,8.97
100,0,0,1480,1579,9.95
100,0,0,1480,1523,10.4
100,0,0,1480,1465,11.15
100,0,0,1480,1673,8.81
100,0,0,1480,1573,10.22
100,0,0,1480,1473,11.83
100,0,0,1480,1373,13.65
100,0,0,1480,1273,15.82
85,15,0,777,915,8.54
85,15,0,777,895,8.98
85,15,0,777,875,9.43
85,15,0,777,855,9.91
85,15,0,777,835,10.41
85,15,0,777,1623,1.76
85,15,0,777,1673,1.56
85,15,0,777,1723,1.38
85,15,0,777,1773,1.21
85,15,0,777,1823,1.08
85,15,0,777,1873,0.89
82.5,17.5,0,761,848,9.02
82.5,17.5,0,761,837.1,9.29
82.5,17.5,0,761,826.7,9.63
82.5,17.5,0,761,815.9,9.94
82.5,17.5,0,761,805.3,10.29
82.5,17.5,0,761,792.2,10.77
82.5,17.5,0,761,781.1,11.17
82.5,17.5,0,761,774.4,11.3
82.5,17.5,0,761,770.7,11.56
82.5,17.5,0,761,764.3,11.8
82.5,17.5,0,761,754,12.27
82.5,17.5,0,761,742.3,12.95
82.5,17.5,0,761,731.7,13.46
82.5,17.5,0,761,721.1,14.13
82.5,17.5,0,761,1623,1.47
82.5,17.5,0,761,1673,1.28
82.5,17.5,0,761,1723,1.11
82.5,17.5,0,761,1773,0.95
80,20,0,753,703,14.5
80,20,0,753,718,13.75
80,20,0,753,726,13.32
80,20,0,753,727,13.29
80,20,0,753,740,12.58
80,20,0,753,758,12
80,20,0,753,754,11.98
80,20,0,753,761,11.63
80,20,0,753,765,11.45
80,20,0,753,774,11.05
80,20,0,753,777,10.9
80,20,0,753,788,10.58
80,20,0,753,789,10.54
80,20,0,753,800,10.12
80,20,0,753,801,10.08
80,20,0,753,810,9.83
80,20,0,753,815,9.56
80,20,0,753,816,9.54
80,20,0,753,824,9.33
80,20,0,753,824,9.29
80,20,0,753,828,9.2
80,20,0,753,836,8.98
80,20,0,753,1432,2.03
80,20,0,753,1478,1.8
80,20,0,753,1522,1.65
80,20,0,753,1584,1.44
