mol% SiO2,mol%Na2O,mol%K2O,Tg (K),T (K) ,viscosity (Pa s)
80,0,20,760,751,12.51
80,0,20,760,762,12.06
80,0,20,760,773,11.55
80,0,20,760,784,11.07
80,0,20,760,794,10.68
80,0,20,760,797,10.61
80,0,20,760,806,10.29
80,0,20,760,818,9.89
80,0,20,760,825,9.62
80,0,20,760,829,9.55
80,0,20,760,844,9.17
80,0,20,760,851,8.98
80,0,20,760,860,8.76
80,0,20,760,1373,2.75
80,0,20,760,1423,2.56
80,0,20,760,1473,2.26
80,0,20,760,1523,2.05
80,0,20,760,1573,1.84
80,0,20,760,1623,1.71
80,0,20,760,1673,1.46
