Mol%SiO2,XK=K/(K+Na),"Tg, K"
77.1,0.18,710
75.8,0.47,705
76.8,0.72,721
82.5,0.18,731
82.8,0.41,729
83.2,0.71,739
66.08,0.08,680
67.2,0.2,664
66.8,0.46,664
63.6,0.77,673
